,Price,Picture Url,Neighbourhood,Zipcode,Latitude,Room Type,Accommodates,Bathrooms,Bedrooms,Guests Included,Availability 30,Bath_for_Beedrooms
754678,2.130333768495006,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/9a5ec58f86fe43eff3278373bb5999e4,83.11206896551724,83.62790697674419,40.41232637471543,87.57165453970262,8,2.0,4.0,6,5,8.0
16446376,2.075546961392531,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/441cfce33724b3b0275a55e64a1b09b0,49.26315789473684,44.95189003436426,40.40494659276176,87.57165453970262,6,2.0,3.0,2,10,6.0
7013484,1.9242792860618816,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/5a8c23a40de41027a74efd676de88199,83.11206896551724,68.47654320987654,40.41528877807942,87.57165453970262,5,1.0,1.0,4,7,1.0
9460773,1.6532125137753435,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/7fc71480bc779935d23c922d96cc3dbb,58.769572953736656,68.47654320987654,40.405529543852246,87.57165453970262,2,1.0,1.0,1,7,1.0
16566741,1.6532125137753435,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/5abeb15c3ad5bca71aa9ba0ddbb50ef8,43.583333333333336,44.95189003436426,40.40041587610827,87.57165453970262,2,1.0,1.0,1,1,1.0
24805,1.7781512503836436,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/c242c655b672141bde31ab0fb471f2e8,70.37463976945244,75.94586894586895,40.42202187481732,87.57165453970262,3,1.0,0.0,2,0,0.0
15249009,1.6434526764861874,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/4e966777b80c6b2760db16e2e9529b0a,78.22241379310344,69.16028368794326,40.412584748173465,34.60482283464567,6,1.0,1.0,4,14,1.0
16356985,1.8388490907372552,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/724001648abae9c5d25b0cb72322863a,70.37463976945244,75.94586894586895,40.421265580723215,87.57165453970262,4,1.0,1.0,2,6,1.0
8511594,1.3979400086720375,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/543d4d08b8bd9090e902db2c02fc0717,72.12084592145015,68.47654320987654,40.41094094594833,34.60482283464567,2,4.0,1.0,1,0,4.0
5623523,2.230448921378274,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/a8b5f1218aae4bc492523b9558195184,58.769572953736656,68.47654320987654,40.4092818387563,87.57165453970262,7,1.0,3.0,3,11,3.0
2190927,1.845098040014257,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/61eea2e078910b3e185f07002652d4cc,58.769572953736656,68.47654320987654,40.408205608174754,87.57165453970262,2,1.0,0.0,1,3,0.0
6008086,1.99563519459755,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/f0707e3220bd6b848ad45a59ce528043,84.61260053619303,66.13808463251671,40.41502515517665,87.57165453970262,2,1.0,1.0,1,1,1.0
10207661,1.0791812460476249,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/76c9a4babdf20bb1545d5b5b53b82035,34.90625,30.714285714285715,40.38615031422139,34.60482283464567,1,1.0,1.0,1,0,1.0
12449187,1.8750612633917,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/10e2e68e6f2e67e2348234fc84d702ab,78.22241379310344,81.46255506607929,40.42017197376101,87.57165453970262,5,1.0,2.0,4,5,2.0
4708827,1.6901960800285136,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/d53e1301f0d159dd48571af42400078f,29.975,44.95189003436426,40.39287533305047,87.57165453970262,2,1.0,1.0,2,0,1.0
13528070,1.7323937598229686,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/77863d0c7764e5471b43c20f23f4180b,58.769572953736656,64.63533834586467,40.40931269862053,87.57165453970262,2,1.0,0.0,2,6,0.0
16446509,1.7242758696007892,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/951ebe2157f9a342fce44467d6405b81,62.270348837209305,61.13333333333333,40.42905898253726,34.60482283464567,2,0.5,1.0,1,29,0.5
5044124,1.8808135922807916,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/458fa5056f12082071abc01a2c4644d3,81.97570850202429,77.14957264957265,40.4343533240189,87.57165453970262,2,1.0,0.0,2,19,0.0
15583308,1.4771212547196624,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/59cdccc584b92db06fba0a05bfbb6ffd,52.44444444444444,48.67692307692308,40.41368344806417,34.60482283464567,2,2.0,1.0,1,13,2.0
8896193,1.6020599913279625,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/f9c6b883604f6226d3447cf1753c981e,60.39473684210526,59.016129032258064,40.399339397273785,34.60482283464567,2,2.0,1.0,1,23,2.0
14040545,1.6334684555795866,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/74f225501f6f2972367c68bd1dded498,70.37463976945244,70.29396325459318,40.42480920504724,87.57165453970262,5,1.0,2.0,3,12,2.0
13027148,1.2787536009528289,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/538c6718f8a158adf2e896df8d7a6790,29.975,44.95189003436426,40.39514190041891,34.60482283464567,2,1.0,1.0,1,22,1.0
5617072,1.6532125137753435,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/ca6e0656baf87eb81e11c8717e2d4101,83.11206896551724,82.5814606741573,40.41328248813953,87.57165453970262,4,1.0,1.0,2,5,1.0
6897761,2.0791812460476247,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/040e50c9f0b90e69ce0cb7bcf869fe9b,65.8080808080808,87.76190476190476,40.42906080160596,87.57165453970262,4,2.0,2.0,4,3,4.0
14529994,1.8750612633917,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/bf31882c3a06326c1568d539094bfd87,64.5813953488372,59.108108108108105,40.42175153580103,87.57165453970262,4,1.0,1.0,1,5,1.0
5258528,1.7708520116421442,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/dfb6580fe03a0ff75f5ae91a88f9ca8f,72.12084592145015,69.16028368794326,40.41046372634062,87.57165453970262,4,1.0,1.0,2,8,1.0
13829247,2.146128035678238,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/fbdb48e1543f8c9204195260a550b72d,47.98969072164948,64.63533834586467,40.40248852546486,87.57165453970262,8,3.0,4.0,6,0,12.0
15043874,1.9242792860618816,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/0a1598a4c94d8570e89e6a96f4f757e2,78.22241379310344,64.63533834586467,40.41351289652118,87.57165453970262,4,1.0,2.0,2,7,2.0
14568248,1.9493900066449128,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/319779b553d8d4fd392a0653adaf598e,83.11206896551724,82.5814606741573,40.41030923627816,87.57165453970262,4,1.0,1.0,1,5,1.0
13622671,1.3979400086720375,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/9ff4f6fcf7561041536ed5d969f1a490,56.82758620689656,36.14150943396226,40.39447720458638,34.60482283464567,1,1.0,1.0,1,29,1.0
773861,1.8325089127062364,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/a052d2bb017b66784a25167b21f8abd5,58.769572953736656,68.47654320987654,40.412157104631454,87.57165453970262,12,2.0,3.0,1,15,6.0
14586191,2.204119982655925,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/4957a8d0dd19650ac18eb0c871fdef6f,80.30864197530865,80.17692307692307,40.4180104048675,87.57165453970262,6,2.0,3.0,1,15,6.0
12469467,1.8129133566428557,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/3cc7823ef46e5a54fd5af60f2d9fbed7,83.11206896551724,83.62790697674419,40.41317761110543,87.57165453970262,2,1.0,0.0,1,2,0.0
14668651,1.845098040014257,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/29e2db241c97e11efd97f03c4ff91a7a,65.5,65.88659793814433,40.44862791537247,87.57165453970262,5,1.0,3.0,1,8,3.0
